id;slug;nome_popular;nome_cientifico;origem;fins_plantio_codigos;fins_plantio;comportamento_folhar_codigo;comportamento_folhar;altura;floracao;cor_floracao;frutificacao;regioes_ocorrencia_cultivo;mapa_regiao;descricao
63;geriva;Gerivá;Syagrus romanzoffiana (Cham.) Glassm.;Nativa;NA FH FA O RMC RAD;Espécie nativa | Consumo humano de fruto | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de mata ciliar | Recuperação de áreas degradadas;P;Perenifólia;10-20m;;;fevereiro-agosto;ES, RJ, MG, GO , MS até o RS.;mudas/mapas/Gerivá.jpg;
64;goiaba;Goiaba;Psidium guajava L.;Nativa;NA FH FA RMC RAD;Espécie nativa | Consumo humano de fruto | Consumo animal de frutos e/ou néctar | Recuperação de mata ciliar | Recuperação de áreas degradadas;SD;Semidecídua;3-6m;;;dezembro-março;RJ ao RS.;mudas/mapas/Goiaba.jpg;
65;goiaba-da-serra;Goiaba-da-serra;Acca sellowiana (O.Berg) Burret;Nativa;NA FH FA O RMC RAD;Espécie nativa | Consumo humano de fruto | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de mata ciliar | Recuperação de áreas degradadas;SD;Semidecídua;3-4m;;;;Norte o RS até o PR.;mudas/mapas/Goiaba_da_serra.jpg;
66;grandiuva;Grandiúva;Trema micrantha (L.) Blum.;Nativa;NA FA RAD;Espécie nativa | Consumo animal de frutos e/ou néctar | Recuperação de áreas degradadas;P;Perenifólia;5-12m;;;;RJ, MG, GO, MS até o RS.;mudas/mapas/Grandiúva.jpg;
67;grevilea;Grevílea;Grevillea robusta A. Cunn. Ex. R. Br.;Exótica;EX S O IND FLOR;Espécie exótica | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Produção industrial (larga escala) | Floração exuberante;SD;Semidecídua;15-20m;agosto-dezembro;amarelo-alaranjada;;É cultivada em SP, PR, SC e RS.;mudas/mapas/Grevílea.jpg;
68;grevilea-ana;Grevílea-anã;Grevillea banksii R. Br.;Exótica;EX FA O FLOR;Espécie exótica | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante;P;Perenifólia;3-6m;maio-setembro;róseo-avermelhada;;Cultivada nas regiões Sul e Sudeste do Brasil.;mudas/mapas/Grevílea_anã.jpg;
69;grumixama;Grumixama;Eugenia brasiliensisLam.;Nativa;NA FH FA O RAD;Espécie nativa | Consumo humano de fruto | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de áreas degradadas;P;Perenifólia;10-15m;;;novembro-dezembro;Sul da BA até SC.;mudas/mapas/Grumixama.jpg;
70;guabiju;Guabiju;Myrcianthes pungens (Berg.) Legr.;Nativa;NA FH FA O RAD;Espécie nativa | Consumo humano de fruto | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de áreas degradadas;SD;Semidecídua;15-20m;;;janeiro-fevereiro;SP até o RS.;mudas/mapas/Guabiju.jpg;
71;guabiroba;Guabiroba;Campomanesia xanthocarpa Berg.;Nativa;NA FH FA O RMC RAD;Espécie nativa | Consumo humano de fruto | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de mata ciliar | Recuperação de áreas degradadas;D;Decídua;10-20m;;;novembro-dezembro;MG, SP, MS até o RS.;mudas/mapas/Guabiroba.jpg;
72;guabiroba-crespa;Guabiroba-crespa;Campomanesia reitziana D. Legrand;Nativa;NA FH FA RMC RAD;Espécie nativa | Consumo humano de fruto | Consumo animal de frutos e/ou néctar | Recuperação de mata ciliar | Recuperação de áreas degradadas;D;Decídua;10-20m;;;outubro-novembro;MG, SP, MS até o RS.;mudas/mapas/Guabiroba_crespa.jpg;
73;guacatunga;Guaçatunga;Casearia sylvestris Sw.;Nativa;NA FA O RAD;Espécie nativa | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de áreas degradadas;P;Perenifólia;4-6m;;;;Todo o Brasil.;mudas/mapas/Guaçatunga.jpg;
74;guamirim-folha-larga;Guamirim-folha-larga;Calyptranthes grandifolia O. Berg.;Nativa;NA FA O RMC RAD;Espécie nativa | Consumo animal de frutos e/ou néctar | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de mata ciliar | Recuperação de áreas degradadas;P;Perenifólia;5-14m;;;;RJ até o RS.;mudas/mapas/Guamirim_folha_larga.jpg;
75;guapuruvu;Guapuruvu;Schizolobium parahyba (Vell.) Blake;Nativa;NA S O FLOR RMC RAD;Espécie nativa | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Floração exuberante | Recuperação de mata ciliar | Recuperação de áreas degradadas;D;Decídua;20-30m;agosto-outubro;amarela;;BA até SC. É cultivada também no RS.;mudas/mapas/Guapuruvu.jpg;
76;inga-anao;Ingá-anão;Inga veraWilld.;Nativa;NA FH FA S O RMC RAD;Espécie nativa | Consumo humano de fruto | Consumo animal de frutos e/ou néctar | Sombreamento | Uso ornamental (paisagismo e/ou arborização urbana e rural) | Recuperação de mata ciliar | Recuperação de áreas degradadas;SD;Semidecídua;5-10m;;;dezembro a março;SP ao RS.;mudas/mapas/Ingá_anão.jpg;
